108840,6050,46070,
108560,6070,46020,
108280,6250,46580,
109650,5990,46420,
108180,6050,44850,
108060,6090,45430,
273540,6020,45200,
108050,25300,45000,
111470,104410,45420,
111030,888470,47420,
381860,58210,179990,
338900,155020,45170,
240060,116290,201290,
173020,2136520,51890,
108960,6480,39820,
110020,6480,39580,
108690,6320,39430,
347560,6270,39580,
108210,6380,38880,
107800,6570,39770,
348160,6440,39380,
109090,6390,39780,
109690,50220,40460,
110100,50190,40280,
350360,103740,39500,
109640,5620,65460,
108930,34220,79590,
172440,50220,196260,
109380,5770,39480,
110120,5670,39620,
110210,5730,39790,
112750,5700,39910,
112260,5690,39860,
111410,5620,39700,
297530,43550,52360,
304590,71980,251950,
306830,55940,318540,
302830,154530,314890,
308500,35100,437990,
305130,675740,44380,
385200,5700,50910,
109460,103330,48480,
369620,5700,46190,
109300,5470,48960,
110050,103780,45510,
110320,5800,45580,
109780,117540,44880,
108860,114690,44880,
